,getIVP,getHRP
0,-0.9935552380068279,-1.0033401229527839
1,-0.9993529417177189,-1.0001997702010137
2,-0.9959871593232689,-1.0013638857974112
3,-0.9991712941208439,-1.000230156778878
4,-0.9997451978783677,-1.0000290229308075
5,-0.9982623735942464,-1.0002428887748291
6,-0.9999968269148607,-1.0000004446778552
7,-1.000000000553082,-0.9999999999934701
8,-1.0000000008325196,-0.9999999999958066
9,-1.0000000000006453,-0.9999999999999889
10,-1.000000000000061,-0.9999999999999994
11,-0.9999999999999999,-1.0
